2025-06-27T11:44:06.991863, avg_wind=2.04, samples=128
2025-06-27T11:49:08.344770, avg_wind=1.62, samples=128
2025-06-27T11:54:09.763201, avg_wind=1.52, samples=128
2025-06-27T11:59:11.170733, avg_wind=1.86, samples=128
2025-06-27T12:04:12.626473, avg_wind=1.79, samples=128
2025-06-27T12:09:14.065479, avg_wind=1.34, samples=128
2025-06-27T12:14:15.433703, avg_wind=1.40, samples=128
2025-06-27T12:19:16.918902, avg_wind=1.17, samples=128
2025-06-27T12:24:18.410766, avg_wind=1.39, samples=128
2025-06-27T12:32:45.140243, avg_wind=1.59, samples=132
2025-06-27T12:37:46.543401, avg_wind=1.70, samples=128
2025-06-27T12:42:47.944069, avg_wind=1.80, samples=128
2025-06-27T12:47:49.432972, avg_wind=1.19, samples=128
2025-06-27T12:52:50.853342, avg_wind=1.83, samples=128
2025-06-27T12:57:52.312497, avg_wind=1.25, samples=128
2025-06-27T13:02:53.822370, avg_wind=1.40, samples=128
2025-06-27T13:07:55.251693, avg_wind=1.67, samples=128
2025-06-27T13:17:49.660029, avg_wind=1.80, samples=132
2025-06-27T13:22:51.111650, avg_wind=0.77, samples=128
2025-06-27T13:27:52.579213, avg_wind=1.55, samples=128
2025-06-27T13:32:54.022025, avg_wind=1.90, samples=128
2025-06-27T13:37:55.466387, avg_wind=1.81, samples=128
2025-06-27T13:42:56.867888, avg_wind=1.43, samples=128
2025-06-27T13:47:58.372707, avg_wind=1.98, samples=128
2025-06-27T13:52:59.770952, avg_wind=2.09, samples=128
2025-06-27T13:58:01.256569, avg_wind=1.43, samples=128
2025-06-27T14:03:02.637961, avg_wind=1.13, samples=128
2025-06-27T14:08:04.127293, avg_wind=1.96, samples=128
2025-06-27T14:13:05.569138, avg_wind=2.04, samples=128
2025-06-27T14:18:06.982895, avg_wind=1.94, samples=128
2025-06-27T14:23:08.431992, avg_wind=1.88, samples=128
2025-06-27T14:28:09.895266, avg_wind=1.57, samples=128
2025-06-27T14:33:11.355522, avg_wind=2.03, samples=128
2025-06-27T14:42:08.223591, avg_wind=1.73, samples=132
2025-06-27T14:47:09.662722, avg_wind=2.10, samples=128
2025-06-27T14:52:11.093935, avg_wind=2.24, samples=128
2025-06-27T14:57:12.557462, avg_wind=1.90, samples=128
2025-06-27T15:02:13.958452, avg_wind=2.48, samples=128
2025-06-27T15:07:15.380749, avg_wind=2.23, samples=128
2025-06-27T15:12:16.911981, avg_wind=1.88, samples=128
2025-06-27T15:17:18.424572, avg_wind=2.11, samples=128
2025-06-27T15:22:19.874246, avg_wind=2.37, samples=128
2025-06-27T15:27:21.359511, avg_wind=1.68, samples=128
2025-06-27T15:32:22.799556, avg_wind=1.56, samples=128
2025-06-27T15:37:24.291888, avg_wind=1.83, samples=128
2025-06-27T15:42:25.768441, avg_wind=1.59, samples=128
2025-06-27T15:47:27.200450, avg_wind=1.63, samples=128
2025-06-27T15:52:28.646184, avg_wind=2.16, samples=128
2025-06-27T15:57:30.032417, avg_wind=1.50, samples=128
2025-06-27T16:02:31.453606, avg_wind=1.76, samples=128
2025-06-27T16:07:32.895280, avg_wind=1.60, samples=128
2025-06-27T16:12:34.253583, avg_wind=1.21, samples=128
2025-06-27T16:17:35.662016, avg_wind=2.05, samples=128
2025-06-27T16:25:58.184553, avg_wind=1.18, samples=132
2025-06-27T16:30:59.638722, avg_wind=0.85, samples=128
2025-06-27T16:36:01.063407, avg_wind=2.10, samples=128
2025-06-27T16:57:47.155095, avg_wind=2.16, samples=132
2025-06-27T17:02:48.767817, avg_wind=1.21, samples=128
2025-06-27T17:07:50.383253, avg_wind=1.35, samples=128
2025-06-27T17:12:51.993622, avg_wind=1.80, samples=128
2025-06-27T17:17:53.530098, avg_wind=1.27, samples=128
2025-06-27T17:22:55.134183, avg_wind=1.68, samples=128
2025-06-27T17:27:56.802840, avg_wind=1.91, samples=128
2025-06-27T17:32:58.381940, avg_wind=1.61, samples=128
2025-06-27T17:37:59.963435, avg_wind=1.29, samples=128
2025-06-27T17:43:01.560874, avg_wind=2.11, samples=128
2025-06-27T17:48:03.146503, avg_wind=1.94, samples=128
2025-06-27T17:53:04.768772, avg_wind=1.81, samples=128
2025-06-27T17:58:06.374779, avg_wind=1.46, samples=128
2025-06-27T18:03:07.988075, avg_wind=1.14, samples=128
2025-06-27T18:08:09.551421, avg_wind=1.36, samples=128
2025-06-27T18:13:11.152054, avg_wind=1.65, samples=128
2025-06-27T18:18:12.773357, avg_wind=1.46, samples=128
2025-06-27T18:23:14.355131, avg_wind=1.51, samples=128
2025-06-27T18:28:15.930272, avg_wind=1.41, samples=128
2025-06-27T18:33:17.518013, avg_wind=1.16, samples=128
2025-06-27T18:38:19.109639, avg_wind=1.66, samples=128
2025-06-27T18:43:20.686241, avg_wind=1.39, samples=128
2025-06-27T18:48:22.254764, avg_wind=2.13, samples=128
2025-06-27T18:53:23.800793, avg_wind=2.01, samples=128
2025-06-27T18:58:25.417613, avg_wind=1.55, samples=128
2025-06-27T19:03:26.942894, avg_wind=1.58, samples=128
2025-06-27T19:08:28.573761, avg_wind=1.44, samples=128
2025-06-27T19:13:30.133969, avg_wind=1.53, samples=128
2025-06-27T19:18:31.764490, avg_wind=1.91, samples=128
