2025-07-03T09:37:17.573253, avg_wind=0.09, samples=1
2025-07-03T09:37:30.104525, avg_wind=0.00, samples=1
2025-07-03T09:37:42.605995, avg_wind=0.70, samples=1
2025-07-03T09:37:55.127248, avg_wind=1.31, samples=1
2025-07-03T09:38:10.718385, avg_wind=0.61, samples=1
2025-07-03T09:38:23.342418, avg_wind=0.00, samples=1
2025-07-03T09:38:36.498245, avg_wind=0.96, samples=1
2025-07-03T09:38:49.527224, avg_wind=1.40, samples=1
2025-07-03T09:39:02.139060, avg_wind=1.49, samples=1
2025-07-03T09:39:14.829467, avg_wind=0.96, samples=1
2025-07-03T09:39:27.395411, avg_wind=0.26, samples=1
2025-07-03T09:39:40.159827, avg_wind=0.70, samples=1
2025-07-03T09:39:52.929705, avg_wind=1.31, samples=1
2025-07-03T09:40:05.619343, avg_wind=1.14, samples=1
2025-07-03T09:40:18.326322, avg_wind=0.70, samples=1
2025-07-03T09:40:30.829618, avg_wind=0.79, samples=1
2025-07-03T09:40:43.369949, avg_wind=0.88, samples=1
2025-07-03T09:40:56.082500, avg_wind=0.88, samples=1
2025-07-03T09:41:08.610756, avg_wind=0.44, samples=1
2025-07-03T09:41:21.361998, avg_wind=0.18, samples=1
2025-07-03T09:41:34.065410, avg_wind=0.96, samples=1
2025-07-03T09:41:46.666766, avg_wind=0.88, samples=1
2025-07-03T09:41:59.364704, avg_wind=0.00, samples=1
2025-07-03T09:42:12.130640, avg_wind=0.09, samples=1
2025-07-03T09:42:24.894799, avg_wind=2.19, samples=1
2025-07-03T09:42:37.578301, avg_wind=1.31, samples=1
2025-07-03T09:42:50.151740, avg_wind=0.53, samples=1
2025-07-03T09:43:02.888286, avg_wind=0.26, samples=1
2025-07-03T09:43:15.658708, avg_wind=1.31, samples=1
2025-07-03T09:43:28.319851, avg_wind=0.88, samples=1
2025-07-03T09:43:40.812640, avg_wind=0.35, samples=1
2025-07-03T09:43:53.343384, avg_wind=0.26, samples=1
2025-07-03T09:44:05.832732, avg_wind=0.00, samples=1
2025-07-03T09:44:18.617238, avg_wind=0.26, samples=1
2025-07-03T09:44:31.329432, avg_wind=0.88, samples=1
2025-07-03T09:44:43.856105, avg_wind=1.05, samples=1
2025-07-03T09:44:56.577525, avg_wind=1.05, samples=1
2025-07-03T09:45:09.350583, avg_wind=0.79, samples=1
2025-07-03T09:45:22.138989, avg_wind=0.70, samples=1
2025-07-03T09:45:34.854424, avg_wind=0.53, samples=1
2025-07-03T09:45:47.948458, avg_wind=0.53, samples=1
2025-07-03T09:46:00.618243, avg_wind=1.31, samples=1
2025-07-03T09:46:13.330206, avg_wind=0.35, samples=1
2025-07-03T09:46:26.152722, avg_wind=0.26, samples=1
2025-07-03T09:46:38.850063, avg_wind=0.00, samples=1
2025-07-03T09:46:51.360411, avg_wind=0.00, samples=1
2025-07-03T09:47:04.115627, avg_wind=0.00, samples=1
2025-07-03T09:47:16.879252, avg_wind=0.09, samples=1
2025-07-03T09:47:29.639618, avg_wind=1.66, samples=1
2025-07-03T09:47:42.353222, avg_wind=0.88, samples=1
2025-07-03T09:47:54.851480, avg_wind=0.09, samples=1
2025-07-03T09:48:07.568777, avg_wind=0.00, samples=1
2025-07-03T09:48:20.059373, avg_wind=0.00, samples=1
2025-07-03T09:48:32.707894, avg_wind=0.18, samples=1
2025-07-03T09:48:45.650003, avg_wind=2.01, samples=1
2025-07-03T09:48:58.345767, avg_wind=2.19, samples=1
2025-07-03T09:49:11.124871, avg_wind=0.88, samples=1
2025-07-03T09:49:23.851019, avg_wind=1.31, samples=1
2025-07-03T09:49:36.322863, avg_wind=2.36, samples=1
2025-07-03T09:49:49.103521, avg_wind=0.53, samples=1
2025-07-03T09:50:01.913667, avg_wind=2.10, samples=1
2025-07-03T09:50:05.973460, avg_wind=2.10, samples=1
2025-07-03T09:50:19.018690, avg_wind=1.22, samples=1
2025-07-03T09:50:31.538687, avg_wind=1.05, samples=1
2025-07-03T09:50:44.122078, avg_wind=0.44, samples=1
2025-07-03T09:50:56.834934, avg_wind=0.18, samples=1
2025-07-03T09:51:09.592443, avg_wind=0.00, samples=1
2025-07-03T09:51:22.322019, avg_wind=1.05, samples=1
2025-07-03T09:51:34.880667, avg_wind=1.40, samples=1
2025-07-03T09:51:47.592193, avg_wind=1.57, samples=1
2025-07-03T09:52:00.062778, avg_wind=2.80, samples=1
2025-07-03T09:52:12.869713, avg_wind=1.49, samples=1
2025-07-03T09:52:25.614258, avg_wind=1.49, samples=1
2025-07-03T09:52:38.361624, avg_wind=0.70, samples=1
2025-07-03T09:52:51.190383, avg_wind=0.18, samples=1
2025-07-03T09:53:03.844793, avg_wind=0.88, samples=1
2025-07-03T09:53:16.348299, avg_wind=0.35, samples=1
2025-07-03T09:53:29.538698, avg_wind=0.00, samples=1
2025-07-03T09:53:42.085517, avg_wind=0.00, samples=1
2025-07-03T09:53:54.611998, avg_wind=0.00, samples=1
2025-07-03T09:54:07.343329, avg_wind=0.00, samples=1
2025-07-03T09:54:19.866975, avg_wind=0.53, samples=1
2025-07-03T09:54:32.583499, avg_wind=0.44, samples=1
2025-07-03T09:54:45.356183, avg_wind=0.00, samples=1
2025-07-03T09:54:53.997552, avg_wind=1.31, samples=1
2025-07-03T09:59:48.608890, avg_wind=1.75, samples=1
2025-07-03T10:01:20.046487, avg_wind=1.75, samples=1
2025-07-03T10:03:13.811840, avg_wind=1.14, samples=1
2025-07-03T10:08:14.898772, avg_wind=1.08, samples=128
2025-07-03T10:13:16.610562, avg_wind=0.90, samples=128
2025-07-03T10:18:18.337445, avg_wind=1.03, samples=128
2025-07-03T10:22:51.414110, avg_wind=0.53, samples=1
2025-07-03T10:27:52.627498, avg_wind=0.79, samples=128
2025-07-03T10:32:53.044386, avg_wind=1.15, samples=128
2025-07-03T10:37:54.352340, avg_wind=0.73, samples=128
2025-07-03T10:42:55.648293, avg_wind=1.06, samples=128
2025-07-03T10:47:57.893957, avg_wind=0.94, samples=128
2025-07-03T10:52:59.294845, avg_wind=1.26, samples=128
2025-07-03T10:58:01.644873, avg_wind=0.87, samples=128
2025-07-03T11:03:01.712477, avg_wind=1.35, samples=127
2025-07-03T11:08:02.567457, avg_wind=1.10, samples=128
2025-07-03T11:08:24.859215, avg_wind=2.71, samples=1
2025-07-03T11:13:25.362738, avg_wind=1.05, samples=128
2025-07-03T11:17:05.308276, avg_wind=0.09, samples=1
2025-07-03T11:17:09.338372, avg_wind=0.00, samples=1
2025-07-03T11:17:13.352812, avg_wind=0.00, samples=1
2025-07-03T11:17:17.699832, avg_wind=0.00, samples=1
2025-07-03T11:17:21.887333, avg_wind=0.00, samples=1
2025-07-03T11:17:25.822646, avg_wind=0.00, samples=1
