2025-07-03T09:29:18.064081, avg_flow=0.0511, samples=1
2025-07-03T09:29:30.601371, avg_flow=0.0511, samples=1
2025-07-03T09:29:43.327700, avg_flow=0.0467, samples=1
2025-07-03T09:29:55.857504, avg_flow=0.0467, samples=1
2025-07-03T09:30:08.614294, avg_flow=0.0000, samples=1
2025-07-03T09:30:21.320471, avg_flow=0.0000, samples=1
2025-07-03T09:30:33.833553, avg_flow=0.0000, samples=1
2025-07-03T09:30:46.317049, avg_flow=0.0000, samples=1
2025-07-03T09:30:58.806186, avg_flow=0.0000, samples=1
2025-07-03T09:31:11.361270, avg_flow=0.0000, samples=1
2025-07-03T09:31:24.117904, avg_flow=0.0000, samples=1
2025-07-03T09:31:36.852268, avg_flow=0.0000, samples=1
2025-07-03T09:31:49.574388, avg_flow=0.0000, samples=1
2025-07-03T09:32:02.080825, avg_flow=0.0000, samples=1
2025-07-03T09:32:14.591016, avg_flow=0.0000, samples=1
2025-07-03T09:32:27.311192, avg_flow=0.0000, samples=1
2025-07-03T09:32:39.838131, avg_flow=0.0000, samples=1
2025-07-03T09:32:52.321889, avg_flow=0.0000, samples=1
2025-07-03T09:33:04.855626, avg_flow=0.0000, samples=1
2025-07-03T09:33:17.558926, avg_flow=0.0000, samples=1
2025-07-03T09:33:30.113174, avg_flow=0.0000, samples=1
2025-07-03T09:33:42.652013, avg_flow=0.0000, samples=1
2025-07-03T09:33:55.325840, avg_flow=0.0000, samples=1
2025-07-03T09:34:07.802612, avg_flow=0.0000, samples=1
2025-07-03T09:34:20.348269, avg_flow=0.0000, samples=1
2025-07-03T09:34:32.817867, avg_flow=0.0000, samples=1
2025-07-03T09:34:45.340789, avg_flow=0.0000, samples=1
2025-07-03T09:34:58.326201, avg_flow=0.0000, samples=1
2025-07-03T09:35:10.824389, avg_flow=0.0000, samples=1
2025-07-03T09:35:23.616065, avg_flow=0.0000, samples=1
2025-07-03T09:35:36.065718, avg_flow=0.0000, samples=1
2025-07-03T09:35:48.603838, avg_flow=0.0000, samples=1
2025-07-03T09:36:01.313563, avg_flow=0.0000, samples=1
2025-07-03T09:36:14.145124, avg_flow=0.0000, samples=1
2025-07-03T09:36:26.861604, avg_flow=0.0000, samples=1
2025-07-03T09:36:39.597012, avg_flow=0.0000, samples=1
2025-07-03T09:36:52.355585, avg_flow=0.0000, samples=1
2025-07-03T09:37:05.074380, avg_flow=0.0000, samples=1
2025-07-03T09:37:17.572261, avg_flow=0.0000, samples=1
2025-07-03T09:37:30.103789, avg_flow=0.0000, samples=1
2025-07-03T09:37:42.605247, avg_flow=0.0000, samples=1
2025-07-03T09:37:55.126491, avg_flow=0.0000, samples=1
2025-07-03T09:38:10.717494, avg_flow=0.0000, samples=1
2025-07-03T09:38:23.337495, avg_flow=0.0000, samples=1
2025-07-03T09:38:36.497492, avg_flow=0.0000, samples=1
2025-07-03T09:38:49.525758, avg_flow=0.0000, samples=1
2025-07-03T09:39:02.138306, avg_flow=0.0000, samples=1
2025-07-03T09:39:14.828733, avg_flow=0.0000, samples=1
2025-07-03T09:39:27.394518, avg_flow=0.0000, samples=1
2025-07-03T09:39:40.159094, avg_flow=0.0000, samples=1
2025-07-03T09:39:52.928964, avg_flow=0.0000, samples=1
