[MQTT][2025-07-04 03:51:32] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:32] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:51:37] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:37] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:51:44] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:44] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:51:49] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:49] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:51:57] MQTT connect error: timed out
[MQTT][2025-07-04 03:51:57] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:52:02] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:02] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:52:09] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:09] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:52:14] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:14] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:52:21] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:21] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:52:26] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:26] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:52:34] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:34] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:52:39] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:39] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:52:46] MQTT connect error: timed out
[MQTT][2025-07-04 03:52:46] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:52:51] MQTT connect error: timed out
